,user_id,start_time,images,end_time
0,1d0dd982-587d-4321-92df-4fbb14515626,7/14/2020 17:50,car_001.jpg,7/14/2020 17:50
0,1d0dd982-587d-4321-92df-4fbb14515626,7/14/2020 17:50,car_003.jpg,7/14/2020 17:52
0,1d0dd982-587d-4321-92df-4fbb14515626,7/14/2020 17:50,car_001.jpg,7/14/2020 17:55
0,a8899f39-df2d-47ff-bfe6-028d5b7f64c7,2020-07-14 17:56:15,car_008.jpg,2020-07-14 17:56:17
0,797233e3-90d0-45eb-9d0a-f3aeb5faabb5,2020-07-14 20:59:45,car_001.jpg,2020-07-14 20:59:51
0,797233e3-90d0-45eb-9d0a-f3aeb5faabb5,2020-07-14 20:59:45,car_006.jpg,2020-07-14 21:01:16
0,797233e3-90d0-45eb-9d0a-f3aeb5faabb5,2020-07-14 20:59:45,car_003.jpg,2020-07-14 21:02:13
0,797233e3-90d0-45eb-9d0a-f3aeb5faabb5,2020-07-14 20:59:45,car_004.jpg,2020-07-14 21:02:27
0,797233e3-90d0-45eb-9d0a-f3aeb5faabb5,2020-07-14 20:59:45,car_005.jpg,2020-07-14 21:02:37
0,797233e3-90d0-45eb-9d0a-f3aeb5faabb5,2020-07-14 20:59:45,car_007.jpg,2020-07-14 21:02:50
0,cd1ccb1a-16d5-4380-bae8-df440c1a24cd,2020-07-14 21:04:15,car_003.jpg,2020-07-14 21:04:25
0,f79d3a6a-a534-4c79-a484-510ac567df02,2020-07-14 18:25:03,corvette (2).jpg,2020-07-14 18:25:53
0,ea6b0f2f-edf5-400d-8680-ef9dddc829d6,2020-07-14 18:28:41,lamborghini.jpg,2020-07-14 18:29:00
0,ea6b0f2f-edf5-400d-8680-ef9dddc829d6,2020-07-14 18:28:41,amg.jpg,2020-07-14 18:29:03
0,ea6b0f2f-edf5-400d-8680-ef9dddc829d6,2020-07-14 18:28:41,corvette (2).jpg,2020-07-14 18:29:30
0,fe024aae-da4e-4cd6-9a80-3561efa9ef3e,2020-07-15 11:48:48,acura.jpg,2020-07-15 11:48:53
0,49c746c2-e563-4fc6-9d3a-9429f38fd1b5,2020-07-15 12:55:04,corvette.jpg,2020-07-15 12:55:06
0,4403d6bb-eb6e-4d17-8e0a-803c309480cd,2020-07-15 12:56:27,koenigsegg.jpg,2020-07-15 12:56:32
0,5561d996-e26f-4e8f-a497-ca793b0c7488,2020-07-15 12:57:57,lamborghini.jpg,2020-07-15 12:57:59
0,7ca74a3b-925d-4ec3-85be-8356d1c4c393,2020-07-27 16:28:16,desk_003.jpg,2020-07-27 16:28:18
0,7ca74a3b-925d-4ec3-85be-8356d1c4c393,2020-07-27 16:28:16,desk_003.jpg,2020-07-27 16:34:17
0,a5a171ba-dc39-46c0-a923-2e18a580aef5,2020-07-27 16:34:54,sofa_003.jpg,2020-07-27 16:34:59
0,ec0e20b6-2cbe-4e4a-adc8-a6e2da8d0ff8,2020-07-27 16:40:01,sofa_001.jpg,2020-07-27 16:40:04
0,39af4d9f-373e-44ab-b3f9-6c570ed80753,2020-07-27 16:41:22,sofa_008.jpg,2020-07-27 16:41:25
0,927206d3-fca3-47bd-b948-848e95bbd289,2020-07-27 17:10:59,bed_008.jpg,2020-07-27 17:11:02
0,927206d3-fca3-47bd-b948-848e95bbd289,2020-07-27 17:10:59,bed_008.jpg,2020-07-27 17:12:39
0,9371ac33-9d2c-4150-9088-3807b8d9320c,2020-07-27 17:13:18,corvette (2).jpg,2020-07-27 17:13:21
0,1b02135e-3ca8-4f31-9821-e93ec7582828,2020-07-27 17:28:25,desk_005.jpg,2020-07-27 17:28:27
0,325bcaea-2328-4000-a7a2-9d8bca59c7c0,2020-07-27 17:29:19,chair_006.jpg,2020-07-27 17:29:21
0,1c3b2671-a924-42d0-a886-b7843cb2aa82,2020-07-27 17:36:10,koenigsegg.jpg,2020-07-27 17:36:12
0,a0706e77-bee0-4502-a29b-9b4919cd78ad,2020-07-27 17:36:57,sofa_008.jpg,2020-07-27 17:37:16
0,e5b243d7-a571-4840-b369-cf12a1b0dd07,2020-07-27 17:42:07,sofa_004.jpg,2020-07-27 17:42:09
0,4514270d-7686-4110-8087-80bbc4213c6e,2020-07-27 17:55:36,desk_009.jpg,2020-07-27 17:55:38
0,7fc8ca38-f2b3-46db-9eae-40538105e926,2020-07-27 18:00:02,chair_006.jpg,2020-07-27 18:00:04
0,eaf5bc19-bd3d-4342-af2b-0e424c1a0f86,2020-07-27 18:28:55,lamp_006.jpg,2020-07-27 18:28:59
0,f14603ff-67a6-4156-b49d-8d1182be6739,2020-07-27 18:29:48,sofa_005.jpg,2020-07-27 18:29:50
0,ec70917a-a4d2-4989-a30b-317b1db98adc,2020-07-27 18:31:39,lamborghini.jpg,2020-07-27 18:31:43
0,21edfdfd-52a1-48d2-9109-de2b16aaa027,2020-07-27 18:32:35,lamp_008.jpg,2020-07-27 18:32:37
0,ceefe1bf-d548-411c-8b0e-29b4c24ec4fd,2020-07-27 18:44:38,lamp_007.jpg,2020-07-27 18:45:02
0,8bd3cda5-b079-4dd9-8694-0edf5be8dbbf,2020-07-27 18:45:46,koenigsegg.jpg,2020-07-27 18:45:50
